"Symbol";"Value";"Unit";
"TE_123230_2";".063";"";
"TE_200553";"";"";
"Series";"MQS";"";
"TE_123219";"";"";
"TE_901806";"Printed Circuit Board";"";
"TE_901781_2";"-40 – 248";"";
"TE_123242_2";"1.772";"";
"TE_123236";"No";"";
"TraceParts.PartLanguage";"en";"";
"TE_903283";"No";"";
"TE_901847_1";"2.54";"";
"TE_123201_1";"144";"";
"REFERENCE";"8-1241434-1";"";
"TE_360642_2";".11";"";
"TE_360639_1";"120";"";
"TraceParts.InstanceId";"10-27072018-1344936RM4CDX4YIXIWMCF58YL2IWVT";"";
"TE_901781_1";"-40 – 120";"";
"TE_123174";"3";"";
"TE_360642_1";"2.8";"";
"TraceParts.PartTitle";"Automotive, Truck, Bus, & Off-Road Headers";"";
"DESIGN";"TAB PIN HEADER 121POS";"";
"TraceParts.PartNumber";"10-27072018-134493";"";
"TE_123201_2";"1.358";"";
"SUPPLIER";"TE Connectivity";"";
"TraceParts.PartVersion";"1.0.8";"";
"TE_360639_2";"167";"";
"TE_903172";"108";"";
"TE_901847_2";".228";"";
"TE_123184";"Tin (Sn)";"";
"TE_901870";"Yes";"";
"URL";"http://www.te.com/usa-en/product-8-1241434-1.html?te_bu=Cor&te_type=other&te_campaign=trp_glo_buylink-pdp&elqCampaignId=29714";"";
"TE_904332";"Without";"";
"TE_123180";"Black";"";
"TE_903505";"Horizontal/90°";"";
"TE_904737";"Tray";"";
"TE_901869";"121";"";
"TE_123230_1";"1.6";"";
"TE_905548";"IP54K";"";
"TE_905363_1";".8";"";
"TE_904360";"With";"";
"TE_903235";"Boardlock";"";
"TE_905363_2";".031";"";
"TE_903250";"With";"";
"TE_901866";"Power & Signal";"";
"TRACEPARTS";"TRACEPARTS";"";
"TE_903927";"";"";
"TE_123242_1";"45";"";
